team,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,BOS,2022020005,BOS,WSH,AWAY,20221012,Team Level,other,0.3535,0.1667,0.25,132.0,0.59,0.245,0.039,0.033,0.024,0.425,0.234,0.148,0.245,0.148,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.245,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.253,0.253,0.153,2.504,0.448,0.288,0.326,0.063,1.454,0.421,0.396,0.448,0.396,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.056,0.113,0.279,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.078,0.0,0.0,0.526,0.526,0.46
BOS,BOS,2022020005,BOS,WSH,AWAY,20221012,Team Level,all,0.5323,0.4359,0.4524,3600.0,28.285,3.137,1.715,6.194,0.923,14.383,11.648,2.974,3.335,3.164,30.0,8.0,13.0,51.0,5.0,3.0,2.0,7.0,0.0,11.0,12.0,25.0,33.0,4.0,8.0,37.0,32.0,6.0,8.0,28.0,6.0,4.0,0.747,0.688,1.702,1.0,1.0,3.0,55.702,38.0,41.002,6.0,0.367,1.242,1.242,2.262,2.445,2.322,34.114,2.756,2.439,7.429,1.037,19.038,13.301,2.633,2.621,2.503,35.0,11.0,20.0,66.0,2.0,1.0,0.0,7.0,0.0,25.0,11.0,33.0,44.0,3.0,6.0,22.0,48.0,7.0,17.0,33.0,11.0,2.0,1.047,1.218,0.491,0.0,2.0,0.0,62.005,46.0,43.172,7.0,0.538,0.212,0.212,3.082,2.937,2.801
BOS,BOS,2022020005,BOS,WSH,AWAY,20221012,Team Level,5on5,0.5307,0.4659,0.4516,2702.0,21.115,1.928,1.312,4.955,0.723,10.346,8.735,1.866,2.126,2.057,21.0,7.0,13.0,41.0,3.0,2.0,1.0,5.0,0.0,8.0,10.0,18.0,25.0,4.0,8.0,28.0,31.0,4.0,7.0,20.0,6.0,2.0,0.664,0.688,0.576,1.0,1.0,1.0,45.702,28.0,31.002,6.0,0.271,0.361,0.361,1.839,2.021,2.0,25.494,1.705,1.666,5.667,0.761,13.731,10.47,1.656,1.571,1.525,24.0,10.0,13.0,47.0,2.0,1.0,0.0,6.0,0.0,18.0,7.0,22.0,32.0,3.0,6.0,14.0,45.0,5.0,14.0,26.0,7.0,1.0,0.69,0.803,0.212,0.0,2.0,0.0,43.005,34.0,31.172,6.0,0.343,0.212,0.212,1.835,1.691,1.645
BOS,BOS,2022020005,BOS,WSH,AWAY,20221012,Team Level,4on5,0.0752,0.1429,0.2222,480.0,1.525,0.041,0.06,0.171,0.032,0.52,1.175,0.041,0.041,0.041,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.013,0.0,0.0,0.054,0.054,0.054,5.095,0.504,0.385,1.21,0.143,3.188,1.57,0.483,0.504,0.483,6.0,1.0,5.0,12.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,7.0,0.0,0.0,3.0,1.0,0.0,2.0,5.0,2.0,0.0,0.291,0.213,0.0,0.0,0.0,0.0,12.0,7.0,7.0,0.0,0.096,0.0,0.0,0.6,0.6,0.575
BOS,BOS,2022020005,BOS,WSH,AWAY,20221012,Team Level,5on4,0.9031,0.7778,0.7778,286.0,5.055,0.923,0.303,1.035,0.144,3.092,1.503,0.919,0.923,0.919,6.0,1.0,0.0,7.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,1.0,0.042,0.0,0.881,0.0,0.0,1.0,7.0,7.0,7.0,0.0,0.075,0.881,0.881,0.117,0.117,0.116,1.02,0.099,0.1,0.225,0.07,0.666,0.84,0.099,0.099,0.099,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01,0.089,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.021,0.0,0.0,0.12,0.12,0.12
BOS,BOS,2022020027,BOS,ARI,HOME,20221015,Team Level,other,1.0,0.6667,1.0,68.0,0.803,0.856,0.007,0.008,0.006,0.057,0.066,0.856,0.856,0.856,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.856,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.002,0.0,0.0,0.858,0.858,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,BOS,2022020027,BOS,ARI,HOME,20221015,Team Level,all,0.6985,0.6102,0.6207,3600.0,40.828,5.534,3.02,8.501,1.435,20.772,14.738,5.323,5.517,5.308,43.0,11.0,18.0,72.0,6.0,5.0,1.0,13.0,2.0,9.0,19.0,37.0,48.0,5.0,13.0,36.0,28.0,9.0,7.0,26.0,24.0,4.0,0.793,3.097,1.644,2.0,2.0,2.0,73.994,54.0,55.216,0.0,0.664,1.146,1.146,5.052,5.04,4.972,24.468,2.389,1.732,5.691,0.792,13.044,9.352,2.371,2.386,2.368,24.0,9.0,13.0,46.0,3.0,2.0,0.0,6.0,1.0,8.0,13.0,21.0,30.0,4.0,11.0,29.0,29.0,6.0,5.0,25.0,5.0,3.0,0.807,0.627,0.956,1.0,0.0,2.0,44.967,33.0,32.216,3.0,0.381,0.225,0.225,2.545,2.545,2.53
BOS,BOS,2022020027,BOS,ARI,HOME,20221015,Team Level,5on5,0.6975,0.6383,0.6429,2956.0,34.079,3.549,2.532,7.362,1.197,17.683,12.677,3.385,3.532,3.37,36.0,9.0,15.0,60.0,4.0,3.0,0.0,12.0,2.0,8.0,16.0,32.0,41.0,5.0,13.0,31.0,26.0,8.0,7.0,25.0,18.0,2.0,0.719,2.326,0.503,2.0,2.0,0.0,61.994,45.0,46.216,0.0,0.539,0.701,0.701,3.387,3.374,3.31,18.608,1.539,1.278,4.636,0.622,9.851,7.073,1.524,1.536,1.521,17.0,8.0,9.0,34.0,1.0,2.0,0.0,5.0,1.0,6.0,10.0,16.0,24.0,3.0,9.0,25.0,29.0,5.0,4.0,19.0,5.0,1.0,0.699,0.627,0.213,1.0,0.0,0.0,32.967,25.0,24.216,3.0,0.267,0.225,0.225,1.581,1.58,1.569
BOS,BOS,2022020027,BOS,ARI,HOME,20221015,Team Level,4on5,0.1153,0.1,0.1429,344.0,0.766,0.073,0.038,0.085,0.024,0.247,0.532,0.073,0.073,0.073,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.082,0.082,0.082,4.232,0.56,0.331,0.884,0.133,2.713,1.379,0.557,0.56,0.557,5.0,1.0,3.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,1.0,0.049,0.0,0.511,0.0,0.0,1.0,9.0,6.0,6.0,0.0,0.088,0.0,0.0,0.648,0.648,0.644
BOS,BOS,2022020027,BOS,ARI,HOME,20221015,Team Level,5on4,0.7838,0.8182,0.7778,232.0,5.179,1.055,0.442,1.046,0.208,2.786,1.462,1.009,1.055,1.009,5.0,2.0,2.0,9.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.771,0.284,0.0,0.0,1.0,9.0,7.0,7.0,0.0,0.115,0.445,0.445,0.725,0.725,0.722,1.629,0.291,0.123,0.17,0.037,0.48,0.9,0.291,0.291,0.291,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.059,0.0,0.231,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.026,0.0,0.0,0.317,0.317,0.317
